Ticket_ID,Horas,Minutos,Duracion
D4501,8,9,380
D4502,8,9,251
D4503,8,10,175
D4504,8,10,253
D4505,8,10,239
D4506,8,10,226
D4507,8,10,231
D4508,8,10,122
D4509,8,10,330
D4510,8,10,287
E1501,8,11,340
I1001,8,11,431
N001,8,12,842
N002,8,12,492
N003,8,12,431
D4511,8,13,249
N004,8,15,885
N005,8,19,791
I1002,8,20,487
I1003,8,20,257
E1502,8,21,322
V2001,8,21,388
E1503,8,23,2026
E1504,8,25,1549
N006,8,25,227
D4512,8,26,319
H2501,8,26,743
I1004,8,26,523
N007,8,26,611
N008,8,28,629
D4514,8,36,289
V2002,8,37,231
I1005,8,38,270
I1006,8,38,973
N009,8,42,1013
D4516,8,43,446
D4517,8,44,171
N010,8,44,826
D4518,8,45,435
D4519,8,45,147
N011,8,45,953
I1007,8,46,453
N012,8,46,779
D4520,8,47,189
V2003,8,47,691
H2502,8,49,217
D4521,8,51,473
N013,8,51,814
D4522,8,53,218
N014,8,54,758
N015,8,55,733
N016,8,56,860
N017,8,58,899
I1008,8,59,477
N018,9,1,1022
N019,9,2,282
D4523,9,4,175
D4524,9,6,559
I1009,9,6,445
E1505,9,8,1905
D4525,9,9,576
E1506,9,10,1216
I1010,9,11,382
D4526,9,12,230
I1011,9,12,220
V2004,9,12,934
D4527,9,13,158
I1012,9,15,530
I1013,9,15,185
D4528,9,17,3
V2005,9,17,608
N020,9,19,877
D4529,9,22,432
V2006,9,22,710
I1014,9,23,234
I1015,9,25,344
D4530,9,26,318
D4531,9,31,269
D4532,9,31,110
I1016,9,31,385
V2007,9,33,911
N021,9,34,698
I1017,9,35,336
N022,9,35,1243
D4533,9,37,294
D4534,9,37,237
N023,9,37,1280
N024,9,38,574
I1018,9,39,567
I1019,9,39,444
D4535,9,40,186
S0501,9,40,1096
D4536,9,41,525
I1020,9,41,592
I1021,9,43,236
I1022,9,43,369
D4537,9,44,207
P3001,9,44,804
N025,9,44,581
D4538,9,45,190
N026,9,45,726
I1023,9,46,594
D4539,9,47,183
V2008,9,47,926
D4540,9,48,23
D4541,9,48,402
E1507,9,50,1401
