,Ticket_ID,Horas,Minutos,Duracion
0,D4501,8,9,540.0
1,D4502,8,9,540.0
2,D4503,8,10,540.0
3,D4504,8,10,540.0
4,D4505,8,10,540.0
5,D4506,8,10,540.0
6,D4507,8,10,540.0
7,D4508,8,10,540.0
8,D4509,8,10,540.0
9,D4510,8,10,540.0
10,E1501,8,11,540.0
11,I1001,8,11,540.0
12,N001,8,12,540.0
13,N002,8,12,540.0
14,N003,8,12,540.0
15,D4511,8,13,540.0
16,N004,8,15,540.0
17,N005,8,19,540.0
18,I1002,8,20,540.0
19,I1003,8,20,540.0
20,E1502,8,21,540.0
21,V2001,8,21,540.0
22,E1503,8,23,540.0
23,E1504,8,25,540.0
24,N006,8,25,540.0
25,D4512,8,26,540.0
26,H2501,8,26,540.0
27,I1004,8,26,540.0
28,N007,8,26,540.0
29,N008,8,28,540.0
30,D4514,8,36,540.0
31,V2002,8,37,540.0
32,I1005,8,38,540.0
33,I1006,8,38,540.0
34,N009,8,42,540.0
35,D4516,8,43,540.0
36,D4517,8,44,540.0
37,N010,8,44,540.0
38,D4518,8,45,540.0
39,D4519,8,45,540.0
40,N011,8,45,540.0
41,I1007,8,46,540.0
42,N012,8,46,540.0
43,D4520,8,47,540.0
44,V2003,8,47,540.0
45,H2502,8,49,540.0
46,D4521,8,51,540.0
47,N013,8,51,540.0
48,D4522,8,53,540.0
49,N014,8,54,540.0
50,N015,8,55,540.0
51,N016,8,56,540.0
52,N017,8,58,540.0
53,I1008,8,59,540.0
54,N018,9,1,540.0
55,N019,9,2,540.0
56,D4523,9,4,540.0
57,D4524,9,6,540.0
58,I1009,9,6,540.0
59,E1505,9,8,540.0
60,D4525,9,9,540.0
61,E1506,9,10,540.0
62,I1010,9,11,540.0
63,D4526,9,12,540.0
64,I1011,9,12,540.0
65,V2004,9,12,540.0
66,D4527,9,13,540.0
67,I1012,9,15,540.0
68,I1013,9,15,540.0
69,D4528,9,17,540.0
70,V2005,9,17,540.0
71,N020,9,19,540.0
72,D4529,9,22,540.0
73,V2006,9,22,540.0
74,I1014,9,23,540.0
75,I1015,9,25,540.0
76,D4530,9,26,540.0
77,D4531,9,31,540.0
78,D4532,9,31,540.0
79,I1016,9,31,540.0
80,V2007,9,33,540.0
81,N021,9,34,540.0
82,I1017,9,35,540.0
83,N022,9,35,540.0
84,D4533,9,37,540.0
85,D4534,9,37,540.0
86,N023,9,37,540.0
87,N024,9,38,540.0
88,I1018,9,39,540.0
89,I1019,9,39,540.0
90,D4535,9,40,540.0
91,S0501,9,40,540.0
92,D4536,9,41,540.0
93,I1020,9,41,540.0
94,I1021,9,43,540.0
95,I1022,9,43,540.0
96,D4537,9,44,540.0
97,P3001,9,44,540.0
98,N025,9,44,540.0
99,D4538,9,45,540.0
100,N026,9,45,540.0
101,I1023,9,46,540.0
102,D4539,9,47,540.0
103,V2008,9,47,540.0
104,D4540,9,48,540.0
105,D4541,9,48,540.0
106,E1507,9,50,540.0
107,I1024,9,50,540.0
108,D4542,9,51,540.0
109,D4543,9,52,540.0
110,D4544,9,52,540.0
111,N027,9,54,540.0
112,V2009,9,54,540.0
113,D4545,9,55,540.0
114,N028,9,56,540.0
115,N029,9,56,540.0
116,I1025,9,57,540.0
117,I1026,9,57,540.0
118,N030,9,57,540.0
119,P3002,10,0,540.0
120,D4546,10,1,540.0
121,S0502,10,2,540.0
122,N031,10,3,540.0
123,D4547,10,4,540.0
124,I1027,10,4,540.0
125,N032,10,4,540.0
126,H2503,10,5,540.0
127,H2504,10,5,540.0
128,D4548,10,6,540.0
129,I1028,10,6,540.0
130,I1029,10,8,540.0
131,N033,10,8,540.0
132,N034,10,8,540.0
133,I1030,10,10,540.0
134,E1508,10,13,540.0
135,V2010,10,15,540.0
136,V2011,10,15,540.0
137,D4549,10,16,540.0
138,D4550,10,17,540.0
139,I1031,10,18,540.0
140,N035,10,18,540.0
141,D4551,10,19,540.0
142,N036,10,19,540.0
143,N037,10,20,540.0
144,H2505,10,21,540.0
145,P3003,10,22,540.0
146,V2012,10,24,540.0
147,P3004,10,25,540.0
148,D4552,10,31,540.0
149,E1509,10,32,540.0
150,N038,10,34,540.0
151,D4553,10,35,540.0
152,N039,10,35,540.0
153,I1032,10,38,540.0
154,P3005,10,38,540.0
155,N040,10,39,540.0
156,I1033,10,40,540.0
157,D4554,10,41,540.0
158,N041,10,41,540.0
159,D4555,10,42,540.0
160,D4556,10,45,540.0
161,I1034,10,46,540.0
162,H2506,10,48,540.0
163,I1035,10,48,540.0
164,D4557,10,49,540.0
165,N042,10,49,540.0
166,E1510,10,51,540.0
167,I1036,10,52,540.0
168,I1037,10,52,540.0
169,D4558,10,53,540.0
170,N043,10,53,540.0
171,D4559,10,54,540.0
172,I1038,10,58,540.0
173,N044,10,58,540.0
174,N045,10,59,540.0
175,D4560,11,0,540.0
176,D4561,11,0,540.0
177,V2013,11,0,540.0
178,I1039,11,2,540.0
179,N046,11,2,540.0
180,D4562,11,7,540.0
181,E1511,11,7,540.0
182,H2507,11,7,540.0
183,N047,11,8,540.0
184,N048,11,8,540.0
185,N049,11,8,540.0
186,H2508,11,10,540.0
187,I1040,11,10,540.0
188,E1512,11,11,540.0
189,I1041,11,11,540.0
190,N050,11,11,540.0
191,N051,11,14,540.0
192,S0503,11,14,540.0
193,P3006,11,15,540.0
194,D4563,11,16,540.0
195,N052,11,16,540.0
196,N053,11,21,540.0
197,N054,11,21,540.0
198,D4564,11,22,540.0
199,I1042,11,22,540.0
200,I1043,11,25,540.0
201,V2014,11,26,540.0
202,I1044,11,28,540.0
203,P3007,11,28,540.0
204,D4565,11,29,540.0
205,I1045,11,29,540.0
206,N055,11,31,540.0
207,N056,11,31,540.0
208,I1046,11,32,540.0
209,H2509,11,33,540.0
210,V2015,11,33,540.0
211,P3008,11,34,540.0
212,D4566,11,35,540.0
213,H2510,11,35,540.0
214,I1047,11,35,540.0
215,D4567,11,36,540.0
216,S0504,11,36,540.0
217,N057,11,37,540.0
218,I1048,11,38,540.0
219,D4568,11,39,540.0
220,I1049,11,43,540.0
221,H2511,11,44,540.0
222,I1050,11,46,540.0
223,N058,11,46,540.0
224,S0505,11,46,540.0
225,N059,11,47,540.0
226,D4569,11,48,540.0
227,I1051,11,48,540.0
228,V2016,11,48,540.0
229,H2512,11,49,540.0
230,I1052,11,49,540.0
231,D4570,11,50,540.0
232,N060,11,50,540.0
233,H2513,11,52,540.0
234,N061,11,52,540.0
235,V2017,11,52,540.0
236,N062,11,53,540.0
237,I1053,11,55,540.0
238,D4571,11,56,540.0
239,D4572,11,58,540.0
240,I1054,11,59,540.0
241,I1055,12,0,540.0
242,D4573,12,1,540.0
243,I1056,12,1,540.0
244,I1057,12,2,540.0
245,N063,12,2,540.0
246,S0506,12,2,540.0
247,H2514,12,3,540.0
248,I1058,12,3,540.0
249,I1059,12,3,540.0
250,I1060,12,4,540.0
251,I1061,12,6,540.0
252,E1513,12,7,540.0
253,N064,12,7,540.0
254,N065,12,8,540.0
255,S0507,12,9,540.0
256,I1062,12,10,540.0
257,I1063,12,11,540.0
258,I1064,12,11,540.0
259,I1065,12,11,540.0
260,N066,12,11,540.0
261,D4574,12,14,540.0
262,I1066,12,15,540.0
263,I1067,12,16,540.0
264,I1068,12,17,540.0
265,P3009,12,17,540.0
266,E1514,12,18,540.0
267,I1069,12,18,540.0
268,I1070,12,19,540.0
269,D4575,12,20,540.0
270,D4576,12,21,540.0
271,I1071,12,21,540.0
272,I1072,12,22,540.0
273,P3010,12,22,540.0
274,S0508,12,22,540.0
275,D4577,12,23,540.0
276,N067,12,23,540.0
277,I1073,12,24,540.0
278,D4578,12,25,540.0
279,D4579,12,26,540.0
280,D4580,12,26,540.0
281,I1074,12,26,540.0
282,D4581,12,27,540.0
283,N068,12,27,540.0
284,D4582,12,28,540.0
285,G001,12,32,540.0
286,I1075,12,33,540.0
287,N069,12,35,540.0
288,I1076,12,36,540.0
289,N070,12,36,540.0
290,I1077,12,38,540.0
291,E1515,12,39,540.0
292,N071,12,40,540.0
293,S0509,12,40,540.0
294,I1078,12,42,540.0
295,S0510,12,42,540.0
296,D4583,12,43,540.0
297,H2515,12,48,540.0
298,N072,12,48,540.0
299,N073,12,50,540.0
300,I1079,12,52,540.0
301,N074,12,52,540.0
302,I1080,12,57,540.0
303,D4584,12,58,540.0
304,D4585,12,59,540.0
305,E1516,13,2,540.0
306,H2516,13,4,540.0
307,H2517,13,4,540.0
308,H2518,13,4,540.0
309,D4586,13,5,540.0
310,I1081,13,7,540.0
311,N075,13,9,540.0
312,I1082,13,11,540.0
313,D4587,13,12,540.0
314,D4588,13,12,540.0
315,I1083,13,12,540.0
316,N076,13,13,540.0
317,H2519,13,14,540.0
318,I1084,13,14,540.0
319,N077,13,16,540.0
320,D4589,13,17,540.0
321,N078,13,18,540.0
322,H2520,13,19,540.0
323,D4590,13,20,540.0
324,I1085,13,22,540.0
325,N079,13,24,540.0
326,D4591,13,25,540.0
327,N080,13,26,540.0
328,I1086,13,29,540.0
329,P3011,13,30,540.0
330,E1517,13,37,540.0
331,D4592,13,38,540.0
332,I1087,13,38,540.0
333,D4593,13,39,540.0
334,N081,13,42,540.0
335,D4594,13,43,540.0
336,I1088,13,43,540.0
337,I1089,13,45,540.0
338,I1090,13,46,540.0
339,E1518,13,47,540.0
340,V2018,13,47,540.0
341,E1519,13,48,540.0
342,N082,13,48,540.0
343,N083,13,48,540.0
344,D4595,13,49,540.0
345,D4596,13,49,540.0
346,N084,13,50,540.0
347,P3012,13,51,540.0
348,N085,13,51,540.0
349,N086,13,53,540.0
350,I1091,13,54,540.0
351,N087,13,55,540.0
352,V2019,13,55,540.0
353,D4597,13,57,540.0
354,E1520,13,57,540.0
355,H2521,13,58,540.0
356,I1092,13,58,540.0
357,N088,13,59,540.0
358,N089,14,0,540.0
359,N090,14,1,540.0
360,D4598,14,2,540.0
361,D4599,14,6,540.0
362,N091,14,6,540.0
363,D4600,14,7,540.0
364,E1521,14,9,540.0
365,I1093,14,10,540.0
366,N092,14,10,540.0
367,D4601,14,11,540.0
368,N093,14,11,540.0
369,P3013,14,12,540.0
370,N094,14,12,540.0
371,I1094,14,15,540.0
372,I1095,14,15,540.0
373,D4602,14,16,540.0
374,D4603,14,16,540.0
375,D4604,14,19,540.0
376,N095,14,23,540.0
377,S0511,14,25,540.0
378,S0512,14,26,540.0
379,N096,14,32,540.0
380,S0513,14,33,540.0
381,N097,14,34,540.0
382,E1522,14,37,540.0
383,I1096,14,37,540.0
384,N098,14,38,540.0
385,D4605,14,39,540.0
386,I1097,14,39,540.0
387,I1098,14,40,540.0
388,D4606,14,42,540.0
389,D4607,14,43,540.0
390,D4608,14,43,540.0
391,D4609,14,44,540.0
392,D4610,14,45,540.0
393,E1523,14,45,540.0
394,I1099,14,45,540.0
395,N099,14,46,540.0
396,H2522,14,47,540.0
397,E1524,14,48,540.0
398,I1100,14,50,540.0
399,I1101,14,51,540.0
400,E1525,14,53,540.0
401,D4611,14,54,540.0
402,N100,14,57,540.0
403,N101,14,58,540.0
404,I1102,15,0,540.0
405,D4612,15,2,540.0
406,N102,15,3,540.0
407,D4613,15,6,540.0
408,N103,15,6,540.0
409,D4614,15,7,540.0
410,I1103,15,7,540.0
411,N104,15,7,540.0
412,N105,15,10,540.0
413,E1526,15,11,540.0
414,D4615,15,12,540.0
415,H2523,15,14,540.0
416,I1104,15,14,540.0
417,I1105,15,15,540.0
418,P3014,15,15,540.0
419,E1527,15,16,540.0
420,N106,15,17,540.0
421,N107,15,17,540.0
422,D4616,15,19,540.0
423,I1106,15,19,540.0
424,N108,15,21,540.0
425,N109,15,22,540.0
426,H2524,15,23,540.0
427,N110,15,23,540.0
428,I1107,15,27,540.0
429,I1108,15,31,540.0
430,D4617,15,32,540.0
431,D4618,15,32,540.0
432,I1109,15,32,540.0
433,P3015,15,34,540.0
434,E1528,15,36,540.0
435,D4619,15,37,540.0
436,D4620,15,38,540.0
437,D4621,15,38,540.0
438,H2525,15,38,540.0
439,E1529,15,40,540.0
440,D4622,15,42,540.0
441,I1110,15,42,540.0
442,N111,15,43,540.0
443,I1111,15,44,540.0
444,H2526,15,45,540.0
445,I1112,15,46,540.0
446,N112,15,46,540.0
447,I1113,15,48,540.0
448,I1114,15,48,540.0
449,I1115,15,50,540.0
450,I1116,15,52,540.0
451,N113,15,54,540.0
452,S0514,15,54,540.0
453,D4623,15,55,540.0
454,D4624,15,55,540.0
455,I1117,15,55,540.0
456,V2020,15,57,540.0
457,I1118,16,0,540.0
458,V2021,16,4,540.0
459,D4625,16,5,540.0
460,I1119,16,5,540.0
461,N114,16,5,540.0
462,D4626,16,6,540.0
463,I1120,16,6,540.0
464,S0515,16,6,540.0
465,N115,16,9,540.0
466,N116,16,10,540.0
467,N117,16,11,540.0
468,H2527,16,12,540.0
469,N118,16,12,540.0
470,S0516,16,13,540.0
471,D4627,16,18,540.0
472,E1530,16,18,540.0
473,I1121,16,18,540.0
474,V2022,16,18,540.0
475,D4628,16,19,540.0
476,D4629,16,21,540.0
477,N119,16,23,540.0
478,E1531,16,26,540.0
479,N120,16,28,540.0
480,N121,16,33,540.0
481,S0517,16,33,540.0
482,N122,16,35,540.0
483,N123,16,36,540.0
484,V2023,16,37,540.0
485,D4630,16,41,540.0
486,I1122,16,44,540.0
487,N124,16,44,540.0
488,V2024,16,45,540.0
489,N125,16,47,540.0
490,S0518,16,50,540.0
491,S0519,16,50,540.0
492,H2528,16,51,540.0
493,I1123,16,51,540.0
494,E1532,16,54,540.0
495,I1124,16,55,540.0
496,I1125,16,56,540.0
497,I1126,16,57,540.0
498,E1533,16,59,540.0
