Ticket_ID,Horas,Minutos,Duracion
P3001,8,0,480
R4001,8,0,11
R4002,8,0,76
I1001,8,1,571
I1002,8,1,986
I1003,8,1,144
N001,8,1,888
N002,8,1,151
S0501,8,1,1056
R4003,8,1,300
R4004,8,1,34
R4005,8,1,135
C3501,8,2,755
N003,8,2,773
N004,8,2,613
R4006,8,3,98
R4007,8,5,122
R4008,8,5,211
E1501,8,7,1449
I1004,8,8,110
V2001,8,8,825
B5001,8,10,595
C3502,8,13,202
R4009,8,13,85
C3503,8,14,306
V2002,8,14,547
R4010,8,16,181
R4011,8,16,249
N005,8,17,272
N006,8,18,1551
P3002,8,19,502
R4012,8,19,122
V2003,8,20,3
V2004,8,20,686
N007,8,21,1563
N008,8,22,1543
V2005,8,23,762
N009,8,24,4
N010,8,27,26
B5002,8,28,303
P3003,8,28,175
N011,8,28,932
V2006,8,29,269
P3004,8,30,404
N012,8,30,649
N013,8,31,958
E1502,8,32,673
A001,8,32,670
B5003,8,33,358
V2007,8,33,96
H2501,8,34,265
N014,8,34,504
R4013,8,35,169
N015,8,36,776
C3504,8,37,368
C3505,8,37,321
C3506,8,38,338
N016,8,38,835
N017,8,39,1012
R4014,8,40,409
V2008,8,40,179
I1005,8,41,1490
R4015,8,41,212
R4016,8,42,121
B5004,8,44,703
N018,8,44,403
N019,8,45,483
I1006,8,47,88
R4017,8,47,126
E1503,8,48,926
I1007,8,48,143
R4018,8,48,133
C3507,8,49,266
C3508,8,50,344
N020,8,50,741
V2009,8,51,727
C3509,8,52,286
H2502,8,52,33
V2010,8,52,776
V2011,8,52,601
B5005,8,53,746
R4019,8,54,131
V2012,8,54,77
R4020,8,55,144
N021,8,56,665
S0502,8,56,892
R4021,8,56,143
R4022,8,56,169
C3510,8,57,341
N022,8,57,520
C3511,8,58,132
N023,8,58,1417
N024,8,59,778
R4023,8,59,135
R4024,8,59,201
I1008,9,1,757
P3005,9,1,473
R4025,9,1,9
C3512,9,2,42
C3513,9,2,406
R4026,9,2,98
I1009,9,3,917
B5006,9,4,652
B5007,9,5,331
R4027,9,5,8
R4028,9,5,212
V2013,9,5,261
N025,9,6,658
N026,9,6,547
C3514,9,8,542
N027,9,8,1307
R4029,9,8,128
V2014,9,8,1336
R4030,9,9,73
H2503,9,10,843
P3006,9,11,471
N028,9,11,498
N029,9,11,549
P3007,9,12,412
N030,9,13,755
R4031,9,13,121
V2015,9,14,786
N031,9,15,693
R4032,9,15,493
R4033,9,16,111
R4034,9,16,122
E1504,9,19,519
N032,9,19,422
R4035,9,19,124
N033,9,20,830
R4036,9,21,121
B5008,9,22,13
C3515,9,23,168
N034,9,23,751
C3516,9,24,448
R4037,9,24,145
R4038,9,24,144
R4039,9,24,303
R4040,9,25,113
E1505,9,26,486
I1010,9,26,623
C3517,9,27,863
R4041,9,27,3
C3518,9,28,409
C3519,9,28,413
P3008,9,28,1859
R4042,9,28,67
P3009,9,29,445
C3520,9,30,293
E1506,9,30,2984
R4043,9,30,142
E1507,9,31,9
N035,9,34,126
N036,9,34,3
N037,9,35,597
C3521,9,36,328
E1508,9,36,1161
I1011,9,37,409
I1012,9,37,1622
P3010,9,37,704
C3522,9,38,363
B5009,9,38,174
N038,9,38,907
R4044,9,38,162
E1509,9,39,785
R4045,9,39,132
B5010,9,40,416
S0503,9,40,988
C3523,9,41,387
B5011,9,42,504
R4046,9,42,196
C3524,9,43,630
C3525,9,43,36
