,Ticket_ID,Horas,Minutos,Duracion
0,P3001,8,0,420.0
1,R4001,8,0,420.0
2,R4002,8,0,420.0
3,I1001,8,1,420.0
4,I1002,8,1,420.0
5,I1003,8,1,420.0
6,N001,8,1,420.0
7,N002,8,1,420.0
8,S0501,8,1,420.0
9,R4003,8,1,420.0
10,R4004,8,1,420.0
11,R4005,8,1,420.0
12,C3501,8,2,420.0
13,N003,8,2,420.0
14,N004,8,2,420.0
15,R4006,8,3,420.0
16,R4007,8,5,420.0
17,R4008,8,5,420.0
18,E1501,8,7,420.0
19,I1004,8,8,420.0
20,V2001,8,8,420.0
21,B5001,8,10,420.0
22,C3502,8,13,420.0
23,R4009,8,13,420.0
24,C3503,8,14,420.0
25,V2002,8,14,420.0
26,R4010,8,16,420.0
27,R4011,8,16,420.0
28,N005,8,17,420.0
29,N006,8,18,420.0
30,P3002,8,19,420.0
31,R4012,8,19,420.0
32,V2003,8,20,420.0
33,V2004,8,20,420.0
34,N007,8,21,420.0
35,N008,8,22,420.0
36,V2005,8,23,420.0
37,N009,8,24,420.0
38,N010,8,27,420.0
39,B5002,8,28,420.0
40,P3003,8,28,420.0
41,N011,8,28,420.0
42,V2006,8,29,420.0
43,P3004,8,30,420.0
44,N012,8,30,420.0
45,N013,8,31,420.0
46,E1502,8,32,420.0
47,A001,8,32,420.0
48,B5003,8,33,420.0
49,V2007,8,33,420.0
50,H2501,8,34,420.0
51,N014,8,34,420.0
52,R4013,8,35,420.0
53,N015,8,36,420.0
54,C3504,8,37,420.0
55,C3505,8,37,420.0
56,C3506,8,38,420.0
57,N016,8,38,420.0
58,N017,8,39,420.0
59,R4014,8,40,420.0
60,V2008,8,40,420.0
61,I1005,8,41,420.0
62,R4015,8,41,420.0
63,R4016,8,42,420.0
64,B5004,8,44,420.0
65,N018,8,44,420.0
66,N019,8,45,420.0
67,I1006,8,47,420.0
68,R4017,8,47,420.0
69,E1503,8,48,420.0
70,I1007,8,48,420.0
71,R4018,8,48,420.0
72,C3507,8,49,420.0
73,C3508,8,50,420.0
74,N020,8,50,420.0
75,V2009,8,51,420.0
76,C3509,8,52,420.0
77,H2502,8,52,420.0
78,V2010,8,52,420.0
79,V2011,8,52,420.0
80,B5005,8,53,420.0
81,R4019,8,54,420.0
82,V2012,8,54,420.0
83,R4020,8,55,420.0
84,N021,8,56,420.0
85,S0502,8,56,420.0
86,R4021,8,56,420.0
87,R4022,8,56,420.0
88,C3510,8,57,420.0
89,N022,8,57,420.0
90,C3511,8,58,420.0
91,N023,8,58,420.0
92,N024,8,59,420.0
93,R4023,8,59,420.0
94,R4024,8,59,420.0
95,I1008,9,1,420.0
96,P3005,9,1,420.0
97,R4025,9,1,420.0
98,C3512,9,2,420.0
99,C3513,9,2,420.0
100,R4026,9,2,420.0
101,I1009,9,3,420.0
102,B5006,9,4,420.0
103,B5007,9,5,420.0
104,R4027,9,5,420.0
105,R4028,9,5,420.0
106,V2013,9,5,420.0
107,N025,9,6,420.0
108,N026,9,6,420.0
109,C3514,9,8,420.0
110,N027,9,8,420.0
111,R4029,9,8,420.0
112,V2014,9,8,420.0
113,R4030,9,9,420.0
114,H2503,9,10,420.0
115,P3006,9,11,420.0
116,N028,9,11,420.0
117,N029,9,11,420.0
118,P3007,9,12,420.0
119,N030,9,13,420.0
120,R4031,9,13,420.0
121,V2015,9,14,420.0
122,N031,9,15,420.0
123,R4032,9,15,420.0
124,R4033,9,16,420.0
125,R4034,9,16,420.0
126,E1504,9,19,420.0
127,N032,9,19,420.0
128,R4035,9,19,420.0
129,N033,9,20,420.0
130,R4036,9,21,420.0
131,B5008,9,22,420.0
132,C3515,9,23,420.0
133,N034,9,23,420.0
134,C3516,9,24,420.0
135,R4037,9,24,420.0
136,R4038,9,24,420.0
137,R4039,9,24,420.0
138,R4040,9,25,420.0
139,E1505,9,26,420.0
140,I1010,9,26,420.0
141,C3517,9,27,420.0
142,R4041,9,27,420.0
143,C3518,9,28,420.0
144,C3519,9,28,420.0
145,P3008,9,28,420.0
146,R4042,9,28,420.0
147,P3009,9,29,420.0
148,C3520,9,30,420.0
149,E1506,9,30,420.0
150,R4043,9,30,420.0
151,E1507,9,31,420.0
152,N035,9,34,420.0
153,N036,9,34,420.0
154,N037,9,35,420.0
155,C3521,9,36,420.0
156,E1508,9,36,420.0
157,I1011,9,37,420.0
158,I1012,9,37,420.0
159,P3010,9,37,420.0
160,C3522,9,38,420.0
161,B5009,9,38,420.0
162,N038,9,38,420.0
163,R4044,9,38,420.0
164,E1509,9,39,420.0
165,R4045,9,39,420.0
166,B5010,9,40,420.0
167,S0503,9,40,420.0
168,C3523,9,41,420.0
169,B5011,9,42,420.0
170,R4046,9,42,420.0
171,C3524,9,43,420.0
172,C3525,9,43,420.0
173,N039,9,43,420.0
174,R4047,9,44,420.0
175,R4048,9,45,420.0
176,R4049,9,46,420.0
177,R4050,9,47,420.0
178,N040,9,48,420.0
179,V2016,9,48,420.0
180,B5012,9,49,420.0
181,B5013,9,49,420.0
182,B5014,9,49,420.0
183,N041,9,49,420.0
184,R4051,9,49,420.0
185,R4052,9,50,420.0
186,N042,9,51,420.0
187,V2017,9,51,420.0
188,N043,9,52,420.0
189,N044,9,53,420.0
190,N045,9,54,420.0
191,V2018,9,56,420.0
192,N046,9,58,420.0
193,P3011,10,0,420.0
194,N047,10,0,420.0
195,N048,10,0,420.0
196,P3012,10,1,420.0
197,P3013,10,2,420.0
198,N049,10,2,420.0
199,R4053,10,2,420.0
200,R4054,10,2,420.0
201,P3014,10,3,420.0
202,R4055,10,3,420.0
203,P3015,10,4,420.0
204,V2019,10,4,420.0
205,E1510,10,5,420.0
206,S0504,10,5,420.0
207,C3526,10,6,420.0
208,P3016,10,6,420.0
209,P3017,10,6,420.0
210,I1013,10,7,420.0
211,V2020,10,7,420.0
212,N050,10,8,420.0
213,R4056,10,8,420.0
214,E1511,10,9,420.0
215,P3018,10,10,420.0
216,R4057,10,10,420.0
217,R4058,10,10,420.0
218,R4059,10,10,420.0
219,C3527,10,11,420.0
220,B5015,10,11,420.0
221,N051,10,11,420.0
222,R4060,10,11,420.0
223,R4061,10,11,420.0
224,C3528,10,12,420.0
225,C3529,10,12,420.0
226,C3530,10,12,420.0
227,C3531,10,12,420.0
228,P3019,10,13,420.0
229,R4062,10,14,420.0
230,V2021,10,14,420.0
231,C3532,10,15,420.0
232,P3020,10,15,420.0
233,N052,10,15,420.0
234,R4063,10,15,420.0
235,C3533,10,16,420.0
236,R4064,10,16,420.0
237,R4065,10,16,420.0
238,B5016,10,17,420.0
239,I1014,10,17,420.0
240,N053,10,17,420.0
241,R4066,10,17,420.0
242,E1512,10,18,420.0
243,P3021,10,18,420.0
244,N054,10,18,420.0
245,S0505,10,18,420.0
246,V2022,10,18,420.0
247,C3534,10,19,420.0
248,B5017,10,19,420.0
249,I1015,10,19,420.0
250,N055,10,19,420.0
251,E1513,10,20,420.0
252,P3022,10,20,420.0
253,N056,10,20,420.0
254,B5018,10,21,420.0
255,I1016,10,21,420.0
256,N057,10,21,420.0
257,N058,10,21,420.0
258,V2023,10,22,420.0
259,P3023,10,23,420.0
260,C3535,10,24,420.0
261,C3536,10,24,420.0
262,V2024,10,24,420.0
263,C3537,10,25,420.0
264,P3024,10,25,420.0
265,N059,10,25,420.0
266,R4067,10,25,420.0
267,P3025,10,26,420.0
268,P3026,10,27,420.0
269,N060,10,27,420.0
270,C3538,10,28,420.0
271,C3539,10,28,420.0
272,R4068,10,29,420.0
273,R4069,10,29,420.0
274,R4070,10,29,420.0
275,R4071,10,29,420.0
276,H2504,10,30,420.0
277,I1017,10,30,420.0
278,N061,10,30,420.0
279,R4072,10,30,420.0
280,B5019,10,31,420.0
281,P3027,10,31,420.0
282,E1514,10,32,420.0
283,R4073,10,32,420.0
284,V2025,10,32,420.0
285,C3540,10,33,420.0
286,R4074,10,33,420.0
287,C3541,10,34,420.0
288,B5020,10,34,420.0
289,N062,10,34,420.0
290,R4075,10,34,420.0
291,E1515,10,35,420.0
292,B5021,10,37,420.0
293,N063,10,37,420.0
294,R4076,10,37,420.0
295,B5022,10,38,420.0
296,N064,10,38,420.0
297,N065,10,39,420.0
298,R4077,10,39,420.0
299,P3028,10,40,420.0
300,N066,10,40,420.0
301,N067,10,40,420.0
302,P3029,10,41,420.0
303,N068,10,41,420.0
304,R4078,10,41,420.0
305,N069,10,42,420.0
306,I1018,10,43,420.0
307,N070,10,43,420.0
308,N071,10,43,420.0
309,V2026,10,43,420.0
310,C3542,10,44,420.0
311,C3543,10,44,420.0
312,P3030,10,44,420.0
313,B5023,10,45,420.0
314,E1516,10,45,420.0
315,E1517,10,46,420.0
316,P3031,10,47,420.0
317,B5024,10,48,420.0
318,N072,10,48,420.0
319,R4079,10,48,420.0
320,P3032,10,49,420.0
321,P3033,10,50,420.0
322,S0506,10,50,420.0
323,C3544,10,51,420.0
324,N073,10,51,420.0
325,N074,10,51,420.0
326,C3545,10,52,420.0
327,B5025,10,53,420.0
328,N075,10,53,420.0
329,P3034,10,54,420.0
330,V2027,10,54,420.0
331,I1019,10,58,420.0
332,B5026,11,0,420.0
333,P3035,11,0,420.0
334,N076,11,0,420.0
335,I1020,11,1,420.0
336,V2028,11,1,420.0
337,H2505,11,2,420.0
338,N077,11,2,420.0
339,B5027,11,3,420.0
340,R4080,11,3,420.0
341,V2029,11,3,420.0
342,N078,11,4,420.0
343,C3546,11,5,420.0
344,H2506,11,5,420.0
345,C3547,11,6,420.0
346,N079,11,6,420.0
347,C3548,11,7,420.0
348,C3549,11,7,420.0
349,B5028,11,7,420.0
350,N080,11,8,420.0
351,R4081,11,8,420.0
352,R4082,11,9,420.0
353,V2030,11,9,420.0
354,E1518,11,10,420.0
355,P3036,11,10,420.0
356,R4083,11,10,420.0
357,N081,11,11,420.0
358,V2031,11,11,420.0
359,C3550,11,12,420.0
360,N082,11,12,420.0
361,N083,11,12,420.0
362,B5029,11,13,420.0
363,B5030,11,13,420.0
364,N084,11,13,420.0
365,I1021,11,14,420.0
366,C3551,11,15,420.0
367,B5031,11,15,420.0
368,B5032,11,15,420.0
369,N085,11,15,420.0
370,V2032,11,15,420.0
371,V2033,11,16,420.0
372,V2034,11,18,420.0
373,N086,11,20,420.0
374,N087,11,20,420.0
375,R4084,11,20,420.0
376,E1519,11,22,420.0
377,R4085,11,22,420.0
378,V2035,11,22,420.0
379,E1520,11,23,420.0
380,P3037,11,23,420.0
381,I1022,11,24,420.0
382,N088,11,24,420.0
383,N089,11,24,420.0
384,B5033,11,25,420.0
385,N090,11,25,420.0
386,N091,11,25,420.0
387,R4086,11,25,420.0
388,C3552,11,26,420.0
389,R4087,11,26,420.0
390,V2036,11,26,420.0
391,C3553,11,27,420.0
392,B5034,11,27,420.0
393,R4088,11,27,420.0
394,C3554,11,28,420.0
395,E1521,11,28,420.0
396,N092,11,29,420.0
397,C3555,11,30,420.0
398,I1023,11,30,420.0
399,P3038,11,31,420.0
400,B5035,11,32,420.0
401,N093,11,32,420.0
402,R4089,11,32,420.0
403,B5036,11,33,420.0
404,I1024,11,33,420.0
405,V2037,11,33,420.0
406,B5037,11,34,420.0
407,N094,11,34,420.0
408,N095,11,34,420.0
409,R4090,11,34,420.0
410,B5038,11,35,420.0
411,R4091,11,35,420.0
412,R4092,11,35,420.0
413,V2038,11,35,420.0
414,C3556,11,36,420.0
415,I1025,11,36,420.0
416,V2039,11,36,420.0
417,V2040,11,36,420.0
418,R4093,11,37,420.0
419,R4094,11,37,420.0
420,C3557,11,38,420.0
421,C3558,11,38,420.0
422,C3559,11,38,420.0
423,C3560,11,38,420.0
424,N096,11,38,420.0
425,E1522,11,39,420.0
426,V2041,11,39,420.0
427,B5039,11,40,420.0
428,N097,11,40,420.0
429,R4095,11,40,420.0
430,R4096,11,40,420.0
431,C3561,11,41,420.0
432,V2042,11,41,420.0
433,R4097,11,42,420.0
434,B5040,11,43,420.0
435,R4098,11,43,420.0
436,B5041,11,44,420.0
437,B5042,11,44,420.0
438,E1523,11,44,420.0
439,E1524,11,44,420.0
440,R4099,11,44,420.0
441,R4100,11,44,420.0
442,N098,11,45,420.0
443,R4101,11,45,420.0
444,V2043,11,46,420.0
445,B5043,11,47,420.0
446,B5044,11,48,420.0
447,E1525,11,48,420.0
448,R4102,11,48,420.0
449,R4103,11,48,420.0
450,V2044,11,48,420.0
451,C3562,11,49,420.0
452,V2045,11,49,420.0
453,C3563,11,50,420.0
454,C3564,11,50,420.0
