,Ticket_ID,Horas,Minutos,Duracion
0,D4501,8,12,480.0
1,D4502,8,13,480.0
2,D4503,8,13,480.0
3,I1001,8,13,480.0
4,D4504,8,14,480.0
5,D4505,8,15,480.0
6,D4506,8,16,480.0
7,N001,8,17,480.0
8,N002,8,17,480.0
9,E1501,8,18,480.0
10,E1502,8,18,480.0
11,N003,8,19,480.0
12,N004,8,19,480.0
13,D4507,8,21,480.0
14,N005,8,22,480.0
15,N006,8,22,480.0
16,D4508,8,23,480.0
17,N007,8,23,480.0
18,I1002,8,24,480.0
19,N008,8,24,480.0
20,D4509,8,25,480.0
21,N009,8,25,480.0
22,N010,8,26,480.0
23,N011,8,26,480.0
24,V2001,8,26,480.0
25,I1003,8,27,480.0
26,N012,8,27,480.0
27,V2002,8,27,480.0
28,D4510,8,29,480.0
29,D4511,8,29,480.0
30,A001,8,29,480.0
31,I1004,8,30,480.0
32,N013,8,30,480.0
33,N014,8,30,480.0
34,B5001,8,32,480.0
35,B5002,8,32,480.0
36,D4512,8,32,480.0
37,N015,8,32,480.0
38,R4001,8,32,480.0
39,V2003,8,32,480.0
40,C3501,8,33,480.0
41,N016,8,33,480.0
42,I1005,8,34,480.0
43,N017,8,37,480.0
44,R4002,8,38,480.0
45,R4003,8,40,480.0
46,N018,8,41,480.0
47,N019,8,41,480.0
48,D4513,8,42,480.0
49,N020,8,42,480.0
50,D4514,8,43,480.0
51,E1503,8,43,480.0
52,F001,8,44,480.0
53,N021,8,44,480.0
54,D4515,8,45,480.0
55,D4516,8,45,480.0
56,D4517,8,46,480.0
57,N022,8,46,480.0
58,C3502,8,48,480.0
59,V2004,8,48,480.0
60,B5003,8,52,480.0
61,D4518,8,52,480.0
62,E1504,8,52,480.0
63,N023,8,53,480.0
64,D4519,8,54,480.0
65,D4520,8,54,480.0
66,E1505,8,56,480.0
67,N024,8,56,480.0
68,N025,8,57,480.0
69,N026,8,57,480.0
70,N027,8,57,480.0
71,S0501,8,57,480.0
72,C3503,8,58,480.0
73,D4521,8,58,480.0
74,D4522,8,58,480.0
75,I1006,8,58,480.0
76,D4523,8,59,480.0
77,N028,8,59,480.0
78,V2005,9,1,480.0
79,C3504,9,4,480.0
80,C3505,9,5,480.0
81,D4524,9,5,480.0
82,D4525,9,6,480.0
83,E1506,9,6,480.0
84,D4526,9,7,480.0
85,N029,9,7,480.0
86,N030,9,7,480.0
87,E1507,9,8,480.0
88,D4527,9,9,480.0
89,E1508,9,9,480.0
90,N031,9,9,480.0
91,V2006,9,9,480.0
92,C3506,9,10,480.0
93,C3507,9,10,480.0
94,N032,9,11,480.0
95,V2007,9,11,480.0
96,V2008,9,12,480.0
97,N033,9,13,480.0
98,N034,9,13,480.0
99,C3508,9,14,480.0
100,N035,9,14,480.0
101,V2009,9,15,480.0
102,V2010,9,16,480.0
103,C3509,9,18,480.0
104,D4528,9,18,480.0
105,D4529,9,19,480.0
106,N036,9,19,480.0
107,D4530,9,20,480.0
108,N037,9,20,480.0
109,E1509,9,21,480.0
110,I1007,9,21,480.0
111,N038,9,22,480.0
112,N039,9,22,480.0
113,V2011,9,23,480.0
114,E1510,9,24,480.0
115,E1511,9,24,480.0
116,N040,9,24,480.0
117,N041,9,25,480.0
118,N042,9,25,480.0
119,N043,9,25,480.0
120,D4531,9,26,480.0
121,N044,9,26,480.0
122,N045,9,27,480.0
123,N046,9,27,480.0
124,D4532,9,28,480.0
125,N047,9,30,480.0
126,V2012,9,30,480.0
127,C3510,9,31,480.0
128,C3511,9,31,480.0
129,D4533,9,31,480.0
130,D4534,9,31,480.0
131,D4535,9,33,480.0
132,N048,9,37,480.0
133,N049,9,37,480.0
