,Ticket_ID,Horas,Minutos,Duracion
0,Cliente 1_16,16,0.0,1500.0
1,Cliente 2_16,16,0.0,1500.0
2,Cliente 3_16,16,0.0,1500.0
3,Cliente 4_16,16,0.0,1500.0
4,Cliente 5_16,16,0.0,1500.0
5,Cliente 6_16,16,1.0,1500.0
6,Cliente 7_16,16,1.0,1500.0
7,Cliente 8_16,16,2.0,1500.0
8,Cliente 9_16,16,3.0,1500.0
9,Cliente 10_16,16,3.0,1500.0
10,Cliente 11_16,16,3.0,1500.0
11,Cliente 12_16,16,3.0,1500.0
12,Cliente 13_16,16,3.0,1500.0
13,Cliente 14_16,16,4.0,1500.0
14,Cliente 15_16,16,4.0,1500.0
15,Cliente 16_16,16,5.0,1500.0
16,Cliente 17_16,16,5.0,1500.0
17,Cliente 18_16,16,5.0,1500.0
18,Cliente 19_16,16,5.0,1500.0
19,Cliente 20_16,16,6.0,1500.0
20,Cliente 21_16,16,6.0,1500.0
21,Cliente 22_16,16,6.0,1500.0
22,Cliente 23_16,16,6.0,1500.0
23,Cliente 24_16,16,7.0,1500.0
24,Cliente 25_16,16,7.0,1500.0
25,Cliente 26_16,16,7.0,1500.0
26,Cliente 27_16,16,7.0,1500.0
27,Cliente 28_16,16,8.0,1500.0
28,Cliente 29_16,16,8.0,1500.0
29,Cliente 30_16,16,8.0,1500.0
30,Cliente 31_16,16,8.0,1500.0
31,Cliente 32_16,16,9.0,1500.0
32,Cliente 33_16,16,9.0,1500.0
33,Cliente 34_16,16,9.0,1500.0
34,Cliente 35_16,16,9.0,1500.0
35,Cliente 36_16,16,9.0,1500.0
36,Cliente 37_16,16,9.0,1500.0
37,Cliente 38_16,16,9.0,1500.0
38,Cliente 39_16,16,10.0,1500.0
39,Cliente 40_16,16,10.0,1500.0
40,Cliente 41_16,16,10.0,1500.0
41,Cliente 42_16,16,10.0,1500.0
42,Cliente 43_16,16,11.0,1500.0
43,Cliente 44_16,16,11.0,1500.0
44,Cliente 45_16,16,11.0,1500.0
45,Cliente 46_16,16,12.0,1500.0
46,Cliente 47_16,16,12.0,1500.0
47,Cliente 48_16,16,13.0,1500.0
48,Cliente 49_16,16,13.0,1500.0
49,Cliente 50_16,16,13.0,1500.0
50,Cliente 51_16,16,13.0,1500.0
51,Cliente 52_16,16,14.0,1500.0
52,Cliente 53_16,16,14.0,1500.0
53,Cliente 54_16,16,14.0,1500.0
54,Cliente 55_16,16,14.0,1500.0
55,Cliente 56_16,16,15.0,1500.0
56,Cliente 57_16,16,15.0,1500.0
57,Cliente 58_16,16,16.0,1500.0
