Ticket_ID,Horas,Minutos,Duracion
D4501,8,4,405
D4502,8,4,123
D4503,8,4,542
I1001,8,8,1356
N001,8,11,720
D4504,8,12,621
N002,8,15,371
N003,8,16,874
D4505,8,21,273
I1002,8,25,150
R4001,8,28,231
V2001,8,37,556
D4506,8,39,2169
D4507,8,42,297
E1501,8,42,409
V2002,8,42,221
I1003,8,43,280
I1004,8,44,630
N004,8,44,813
H2501,8,45,303
C3501,8,46,580
D4508,8,47,787
D4509,8,48,188
D4510,8,52,267
I1005,8,52,128
H2502,8,53,784
D4511,8,54,284
I1006,8,58,598
I1007,8,59,330
D4512,9,1,335
N005,9,2,670
D4513,9,3,150
D4514,9,3,130
E1502,9,6,1311
E1503,9,6,650
E1504,9,6,431
D4515,9,7,94
I1008,9,9,996
D4516,9,11,112
D4517,9,11,96
N006,9,12,967
R4002,9,14,170
H2503,9,15,1447
I1009,9,15,340
N007,9,16,260
C3502,9,17,244
I1010,9,21,740
N008,9,22,828
D4518,9,24,156
D4519,9,24,511
D4520,9,24,99
D4521,9,26,133
B5001,9,28,309
V2003,9,28,1342
D4522,9,29,310
D4523,9,29,1046
B5002,9,32,493
I1011,9,32,574
S0501,9,32,799
V2004,9,38,1082
N009,9,39,462
N010,9,40,617
D4524,9,41,176
I1012,9,41,414
I1013,9,41,264
P3001,9,42,376
N011,9,43,782
H2504,9,44,662
P3002,9,44,268
I1014,9,45,267
D4525,9,48,102
N012,9,49,462
N013,9,49,214
C3503,9,50,230
I1015,9,50,595
R4003,9,51,78
R4004,9,52,311
R4005,9,52,141
B5003,9,53,731
D4526,9,53,259
C3504,9,55,394
D4527,9,55,196
N014,9,55,478
N015,9,56,124
D4528,9,58,479
I1016,9,58,247
C3505,9,59,172
B5004,10,3,236
I1017,10,3,342
C3506,10,4,286
I1018,10,5,385
P3003,10,5,624
B5005,10,6,401
D4529,10,6,136
I1019,10,7,129
N016,10,9,610
R4006,10,9,308
C3507,10,10,420
D4530,10,10,130
P3004,10,10,1049
D4531,10,11,409
D4532,10,11,358
D4533,10,12,75
I1020,10,13,290
I1021,10,13,1164
P3005,10,14,289
N017,10,14,968
H2505,10,15,225
I1022,10,17,497
B5006,10,18,879
D4534,10,18,804
V2005,10,18,99
D4535,10,19,123
I1023,10,19,493
I1024,10,19,305
I1025,10,21,357
P3006,10,21,761
C3508,10,23,314
D4536,10,23,773
B5007,10,24,141
P3007,10,24,146
E1505,10,25,1013
N018,10,25,284
I1026,10,26,507
N019,10,26,570
E1506,10,27,541
B5008,10,29,355
I1027,10,29,323
H2506,10,30,623
N020,10,32,825
P3008,10,33,532
N021,10,33,65
I1028,10,34,364
D4537,10,36,767
C3509,10,38,325
D4538,10,38,119
D4539,10,38,967
E1507,10,38,1381
D4540,10,39,16
N022,10,39,147
C3510,10,40,296
N023,10,40,1154
N024,10,41,466
D4541,10,42,590
N025,10,42,737
D4542,10,43,258
C3511,10,44,220
B5009,10,44,574
P3009,10,44,618
D4543,10,45,336
D4544,10,45,796
N026,10,45,261
R4007,10,45,90
C3512,10,47,407
E1508,10,47,169
