,Ticket_ID,Horas,Minutos,Duracion
0,D4501,8,4,480.0
1,D4502,8,4,480.0
2,D4503,8,4,480.0
3,I1001,8,8,480.0
4,N001,8,11,480.0
5,D4504,8,12,480.0
6,N002,8,15,480.0
7,N003,8,16,480.0
8,D4505,8,21,480.0
9,I1002,8,25,480.0
10,R4001,8,28,480.0
11,V2001,8,37,480.0
12,D4506,8,39,480.0
13,D4507,8,42,480.0
14,E1501,8,42,480.0
15,V2002,8,42,480.0
16,I1003,8,43,480.0
17,I1004,8,44,480.0
18,N004,8,44,480.0
19,H2501,8,45,480.0
20,C3501,8,46,480.0
21,D4508,8,47,480.0
22,D4509,8,48,480.0
23,D4510,8,52,480.0
24,I1005,8,52,480.0
25,H2502,8,53,480.0
26,D4511,8,54,480.0
27,I1006,8,58,480.0
28,I1007,8,59,480.0
29,D4512,9,1,480.0
30,N005,9,2,480.0
31,D4513,9,3,480.0
32,D4514,9,3,480.0
33,E1502,9,6,480.0
34,E1503,9,6,480.0
35,E1504,9,6,480.0
36,D4515,9,7,480.0
37,I1008,9,9,480.0
38,D4516,9,11,480.0
39,D4517,9,11,480.0
40,N006,9,12,480.0
41,R4002,9,14,480.0
42,H2503,9,15,480.0
43,I1009,9,15,480.0
44,N007,9,16,480.0
45,C3502,9,17,480.0
46,I1010,9,21,480.0
47,N008,9,22,480.0
48,D4518,9,24,480.0
49,D4519,9,24,480.0
50,D4520,9,24,480.0
51,D4521,9,26,480.0
52,B5001,9,28,480.0
53,V2003,9,28,480.0
54,D4522,9,29,480.0
55,D4523,9,29,480.0
56,B5002,9,32,480.0
57,I1011,9,32,480.0
58,S0501,9,32,480.0
59,V2004,9,38,480.0
60,N009,9,39,480.0
61,N010,9,40,480.0
62,D4524,9,41,480.0
63,I1012,9,41,480.0
64,I1013,9,41,480.0
65,P3001,9,42,480.0
66,N011,9,43,480.0
67,H2504,9,44,480.0
68,P3002,9,44,480.0
69,I1014,9,45,480.0
70,D4525,9,48,480.0
71,N012,9,49,480.0
72,N013,9,49,480.0
73,C3503,9,50,480.0
74,I1015,9,50,480.0
75,R4003,9,51,480.0
76,R4004,9,52,480.0
77,R4005,9,52,480.0
78,B5003,9,53,480.0
79,D4526,9,53,480.0
80,C3504,9,55,480.0
81,D4527,9,55,480.0
82,N014,9,55,480.0
83,N015,9,56,480.0
84,D4528,9,58,480.0
85,I1016,9,58,480.0
86,C3505,9,59,480.0
87,B5004,10,3,480.0
88,I1017,10,3,480.0
89,C3506,10,4,480.0
90,I1018,10,5,480.0
91,P3003,10,5,480.0
92,B5005,10,6,480.0
93,D4529,10,6,480.0
94,I1019,10,7,480.0
95,N016,10,9,480.0
96,R4006,10,9,480.0
97,C3507,10,10,480.0
98,D4530,10,10,480.0
99,P3004,10,10,480.0
100,D4531,10,11,480.0
101,D4532,10,11,480.0
102,D4533,10,12,480.0
103,I1020,10,13,480.0
104,I1021,10,13,480.0
105,P3005,10,14,480.0
106,N017,10,14,480.0
107,H2505,10,15,480.0
108,I1022,10,17,480.0
109,B5006,10,18,480.0
110,D4534,10,18,480.0
111,V2005,10,18,480.0
112,D4535,10,19,480.0
113,I1023,10,19,480.0
114,I1024,10,19,480.0
115,I1025,10,21,480.0
116,P3006,10,21,480.0
117,C3508,10,23,480.0
118,D4536,10,23,480.0
119,B5007,10,24,480.0
120,P3007,10,24,480.0
121,E1505,10,25,480.0
122,N018,10,25,480.0
123,I1026,10,26,480.0
124,N019,10,26,480.0
125,E1506,10,27,480.0
126,B5008,10,29,480.0
127,I1027,10,29,480.0
128,H2506,10,30,480.0
129,N020,10,32,480.0
130,P3008,10,33,480.0
131,N021,10,33,480.0
132,I1028,10,34,480.0
133,D4537,10,36,480.0
134,C3509,10,38,480.0
135,D4538,10,38,480.0
136,D4539,10,38,480.0
