Ticket_ID,Horas,Minutos,Duracion
T001,8,0,342
I001,8,2,733
S0501,8,3,1534
T002,8,4,761
P001,8,4,1042
N001,8,4,912
I002,8,5,779
V001,8,6,1216
I003,8,7,821
I004,8,7,399
N002,8,8,701
R001,8,8,391
L001,8,10,675
I005,8,10,543
D001,8,11,480
N003,8,12,788
D002,8,13,465
Y001,8,14,161
D003,8,14,452
G001,8,14,176
D004,8,17,681
N004,8,17,838
N005,8,17,621
D005,8,18,355
N006,8,18,1630
Y002,8,20,207
D006,8,24,355
I006,8,24,507
Y003,8,25,355
V002,8,27,1488
V003,8,28,1001
C001,8,29,568
Y004,8,29,48
T003,8,30,287
R002,8,31,514
G002,8,32,350
P002,8,32,533
I007,8,34,1196
C002,8,35,288
C003,8,35,187
D007,8,35,1185
N007,8,39,970
Y005,8,43,710
N008,8,43,1263
D008,8,44,363
D009,8,46,796
D010,8,48,384
C004,8,49,285
N009,8,49,750
D011,8,50,288
D012,8,50,629
D013,8,52,467
I008,8,52,30
C005,8,54,261
Y006,8,54,587
I009,8,55,674
N010,8,56,1108
N011,8,57,963
C006,8,58,314
I010,9,1,640
C007,9,2,382
R003,9,2,522
C008,9,3,330
S0502,9,3,797
R004,9,3,14
D014,9,4,433
E001,9,5,1023
I011,9,6,924
P003,9,6,537
R005,9,7,444
I012,9,8,663
N012,9,8,382
S0503,9,8,1791
Y007,9,10,690
N013,9,10,677
D015,9,11,229
S0504,9,11,616
I013,9,12,579
D016,9,15,328
D017,9,15,280
N014,9,15,266
C009,9,17,97
R006,9,18,202
I014,9,19,528
R007,9,19,197
Y008,9,20,314
N015,9,21,1013
D018,9,22,304
N016,9,22,469
R008,9,22,501
C010,9,24,441
Y009,9,24,651
N017,9,24,659
N018,9,24,688
Y010,9,25,333
I015,9,25,373
I016,9,26,566
C011,9,27,405
D019,9,27,245
D020,9,28,669
D021,9,28,320
I017,9,28,162
N019,9,28,494
N020,9,28,849
D022,9,29,307
D023,9,29,236
E002,9,29,1175
N021,9,30,271
C012,9,31,205
Y011,9,31,822
S0505,9,31,141
I018,9,32,312
T004,9,32,629
D024,9,33,607
I019,9,33,445
C013,9,35,227
N022,9,35,507
D025,9,36,255
Y012,9,37,23
D026,9,37,1061
V004,9,37,988
V005,9,39,1162
I020,9,40,229
I021,9,40,1176
S0506,9,40,1113
R009,9,42,856
C014,9,43,223
Y013,9,43,411
I022,9,44,437
Y014,9,45,66
D027,9,45,137
D028,9,45,203
N023,9,45,881
D029,9,46,551
N024,9,46,646
R010,9,46,135
Y015,9,47,355
N025,9,47,779
V006,9,47,250
H001,9,48,1015
I023,9,48,566
D030,9,50,1050
T005,9,50,436
N026,9,50,330
D031,9,52,264
I024,9,52,534
Y016,9,53,595
D032,9,53,582
D033,9,53,935
I025,9,53,275
R011,9,53,40
C015,9,55,309
D034,9,55,241
E003,9,55,1541
S0507,9,55,260
D035,9,56,503
D036,9,56,521
D037,9,58,262
S0508,10,0,79
R012,10,0,256
I026,10,1,727
R013,10,2,42
G003,10,3,126
I027,10,3,588
R014,10,3,102
T006,10,4,444
Y017,10,5,370
I028,10,5,65
P004,10,5,1040
I029,10,6,264
N027,10,6,1016
D038,10,7,518
T007,10,7,416
S0509,10,7,1075
V007,10,7,951
C016,10,9,107
P005,10,9,902
N028,10,10,97
N029,10,11,812
I030,10,14,578
T008,10,14,635
R015,10,14,600
Y018,10,16,482
E004,10,16,696
P006,10,16,571
N030,10,17,1022
E005,10,18,972
V008,10,18,1156
I031,10,19,420
C017,10,20,265
C018,10,20,130
E006,10,20,1217
I032,10,20,690
I033,10,21,333
I034,10,21,264
I035,10,21,682
N031,10,21,978
N032,10,21,1662
R016,10,22,602
I036,10,23,239
N033,10,23,1203
R017,10,23,483
I037,10,24,728
Y019,10,25,535
G004,10,25,178
I038,10,25,1240
I039,10,25,127
R018,10,25,16
C019,10,26,202
D039,10,26,766
C020,10,27,118
C021,10,28,143
D040,10,28,1326
N034,10,29,589
S0510,10,29,268
S0511,10,29,1035
H002,10,30,548
N035,10,30,722
R019,10,30,899
I040,10,31,364
I041,10,31,164
I042,10,32,317
N036,10,32,691
R020,10,32,185
D041,10,33,644
E007,10,33,1214
T009,10,33,988
N037,10,33,637
Y020,10,34,76
D042,10,35,76
G005,10,35,196
I043,10,35,1348
I044,10,35,422
I045,10,36,436
I046,10,37,690
R021,10,37,135
Y021,10,38,483
C022,10,39,200
D043,10,39,308
C023,10,40,252
R022,10,40,567
D044,10,41,424
S0512,10,41,459
R023,10,42,8
R024,10,42,5
N038,10,43,7
Y022,10,44,342
D045,10,44,278
G006,10,44,18
P007,10,45,751
N039,10,46,380
N040,10,46,908
R025,10,46,9
T010,10,47,214
R026,10,48,7
I047,10,49,356
R027,10,50,371
C024,10,51,241
S0513,10,51,961
R028,10,52,70
I048,10,53,523
R029,10,54,206
R030,10,54,333
R031,10,56,47
S0514,10,57,1329
C025,10,58,137
C026,10,58,114
C027,10,58,269
C028,10,58,186
L002,10,59,461
I049,10,59,405
I050,10,59,231
T011,10,59,702
H003,11,2,1267
Y023,11,4,121
Y024,11,4,163
E008,11,4,1140
D046,11,5,122
T012,11,5,309
P008,11,5,1003
Y025,11,6,323
N041,11,6,1108
N042,11,8,799
R032,11,8,71
Y026,11,9,43
S0515,11,10,1429
C029,11,12,158
N043,11,13,520
V009,11,13,769
I051,11,14,245
T013,11,15,449
P009,11,16,745
D047,11,17,310
I052,11,18,501
R033,11,18,496
I053,11,19,355
E009,11,21,606
R034,11,21,425
C030,11,23,114
E010,11,23,189
I054,11,23,910
I055,11,23,489
R035,11,23,293
I056,11,24,235
N044,11,25,637
R036,11,25,578
R037,11,25,363
R038,11,25,131
G007,11,26,232
I057,11,26,697
N045,11,26,366
N046,11,28,439
R039,11,28,128
V010,11,29,1445
Y027,11,31,55
D048,11,31,888
S0516,11,31,486
R040,11,33,490
E011,11,34,1895
I058,11,34,259
R041,11,34,39
R042,11,34,833
H004,11,35,574
R043,11,35,374
E012,11,36,920
I059,11,36,1059
P010,11,36,1204
I060,11,37,355
Y028,11,39,41
Y029,11,40,545
N047,11,41,1140
D049,11,42,305
C031,11,43,285
S0517,11,43,796
C032,11,45,476
D050,11,45,365
Y030,11,46,124
D051,11,46,637
N048,11,46,502
S0518,11,46,173
R044,11,46,429
C033,11,48,24
C034,11,48,111
L003,11,48,958
C035,11,50,341
Y031,11,50,510
D052,11,51,648
I061,11,51,687
S0519,11,51,1070
S0520,11,52,826
N049,11,53,960
R045,11,53,279
N050,11,54,430
Y032,11,55,42
I062,11,55,232
N051,11,55,909
R046,11,55,131
G008,11,56,129
V011,11,56,1110
C036,11,57,367
E013,11,57,786
P011,11,57,401
N052,11,58,608
S0521,11,58,1037
V012,11,58,1672
I063,11,59,321
I064,11,59,424
D053,12,0,692
T014,12,0,72
S0522,12,0,1262
N053,12,3,619
R047,12,3,87
Y033,12,4,233
Y034,12,5,140
D054,12,5,693
D055,12,6,373
H005,12,7,489
I065,12,7,1363
D056,12,8,337
N054,12,9,1174
