,Ticket_ID,Horas,Minutos,Duracion
0,T001,8,0,480.0
1,I001,8,2,480.0
2,S0501,8,3,480.0
3,T002,8,4,480.0
4,P001,8,4,480.0
5,N001,8,4,480.0
6,I002,8,5,480.0
7,V001,8,6,480.0
8,I003,8,7,480.0
9,I004,8,7,480.0
10,N002,8,8,480.0
11,R001,8,8,480.0
12,L001,8,10,480.0
13,I005,8,10,480.0
14,D001,8,11,480.0
15,N003,8,12,480.0
16,D002,8,13,480.0
17,Y001,8,14,480.0
18,D003,8,14,480.0
19,G001,8,14,480.0
20,D004,8,17,480.0
21,N004,8,17,480.0
22,N005,8,17,480.0
23,D005,8,18,480.0
24,N006,8,18,480.0
25,Y002,8,20,480.0
26,D006,8,24,480.0
27,I006,8,24,480.0
28,Y003,8,25,480.0
29,V002,8,27,480.0
30,V003,8,28,480.0
31,C001,8,29,480.0
32,Y004,8,29,480.0
33,T003,8,30,480.0
34,R002,8,31,480.0
35,G002,8,32,480.0
36,P002,8,32,480.0
37,I007,8,34,480.0
38,C002,8,35,480.0
39,C003,8,35,480.0
40,D007,8,35,480.0
41,N007,8,39,480.0
42,Y005,8,43,480.0
43,N008,8,43,480.0
44,D008,8,44,480.0
45,D009,8,46,480.0
46,D010,8,48,480.0
47,C004,8,49,480.0
48,N009,8,49,480.0
49,D011,8,50,480.0
50,D012,8,50,480.0
51,D013,8,52,480.0
52,I008,8,52,480.0
53,C005,8,54,480.0
54,Y006,8,54,480.0
55,I009,8,55,480.0
56,N010,8,56,480.0
57,N011,8,57,480.0
58,C006,8,58,480.0
59,I010,9,1,480.0
60,C007,9,2,480.0
61,R003,9,2,480.0
62,C008,9,3,480.0
63,S0502,9,3,480.0
64,R004,9,3,480.0
65,D014,9,4,480.0
66,E001,9,5,480.0
67,I011,9,6,480.0
68,P003,9,6,480.0
69,R005,9,7,480.0
70,I012,9,8,480.0
71,N012,9,8,480.0
72,S0503,9,8,480.0
73,Y007,9,10,480.0
74,N013,9,10,480.0
75,D015,9,11,480.0
76,S0504,9,11,480.0
77,I013,9,12,480.0
78,D016,9,15,480.0
79,D017,9,15,480.0
80,N014,9,15,480.0
81,C009,9,17,480.0
82,R006,9,18,480.0
83,I014,9,19,480.0
84,R007,9,19,480.0
85,Y008,9,20,480.0
86,N015,9,21,480.0
87,D018,9,22,480.0
88,N016,9,22,480.0
89,R008,9,22,480.0
90,C010,9,24,480.0
91,Y009,9,24,480.0
92,N017,9,24,480.0
93,N018,9,24,480.0
94,Y010,9,25,480.0
95,I015,9,25,480.0
96,I016,9,26,480.0
97,C011,9,27,480.0
98,D019,9,27,480.0
99,D020,9,28,480.0
100,D021,9,28,480.0
101,I017,9,28,480.0
102,N019,9,28,480.0
103,N020,9,28,480.0
104,D022,9,29,480.0
105,D023,9,29,480.0
106,E002,9,29,480.0
107,N021,9,30,480.0
108,C012,9,31,480.0
109,Y011,9,31,480.0
110,S0505,9,31,480.0
111,I018,9,32,480.0
112,T004,9,32,480.0
113,D024,9,33,480.0
114,I019,9,33,480.0
115,C013,9,35,480.0
116,N022,9,35,480.0
117,D025,9,36,480.0
118,Y012,9,37,480.0
119,D026,9,37,480.0
120,V004,9,37,480.0
121,V005,9,39,480.0
122,I020,9,40,480.0
123,I021,9,40,480.0
124,S0506,9,40,480.0
125,R009,9,42,480.0
126,C014,9,43,480.0
127,Y013,9,43,480.0
128,I022,9,44,480.0
129,Y014,9,45,480.0
130,D027,9,45,480.0
131,D028,9,45,480.0
132,N023,9,45,480.0
133,D029,9,46,480.0
134,N024,9,46,480.0
135,R010,9,46,480.0
136,Y015,9,47,480.0
137,N025,9,47,480.0
138,V006,9,47,480.0
139,H001,9,48,480.0
140,I023,9,48,480.0
141,D030,9,50,480.0
142,T005,9,50,480.0
143,N026,9,50,480.0
144,D031,9,52,480.0
145,I024,9,52,480.0
146,Y016,9,53,480.0
147,D032,9,53,480.0
148,D033,9,53,480.0
149,I025,9,53,480.0
150,R011,9,53,480.0
151,C015,9,55,480.0
152,D034,9,55,480.0
153,E003,9,55,480.0
154,S0507,9,55,480.0
155,D035,9,56,480.0
156,D036,9,56,480.0
157,D037,9,58,480.0
158,S0508,10,0,480.0
159,R012,10,0,480.0
160,I026,10,1,480.0
161,R013,10,2,480.0
162,G003,10,3,480.0
163,I027,10,3,480.0
164,R014,10,3,480.0
165,T006,10,4,480.0
166,Y017,10,5,480.0
167,I028,10,5,480.0
168,P004,10,5,480.0
169,I029,10,6,480.0
170,N027,10,6,480.0
171,D038,10,7,480.0
172,T007,10,7,480.0
173,S0509,10,7,480.0
174,V007,10,7,480.0
175,C016,10,9,480.0
176,P005,10,9,480.0
177,N028,10,10,480.0
178,N029,10,11,480.0
179,I030,10,14,480.0
180,T008,10,14,480.0
181,R015,10,14,480.0
182,Y018,10,16,480.0
183,E004,10,16,480.0
184,P006,10,16,480.0
185,N030,10,17,480.0
186,E005,10,18,480.0
187,V008,10,18,480.0
188,I031,10,19,480.0
189,C017,10,20,480.0
190,C018,10,20,480.0
191,E006,10,20,480.0
192,I032,10,20,480.0
193,I033,10,21,480.0
194,I034,10,21,480.0
195,I035,10,21,480.0
196,N031,10,21,480.0
197,N032,10,21,480.0
198,R016,10,22,480.0
199,I036,10,23,480.0
200,N033,10,23,480.0
201,R017,10,23,480.0
202,I037,10,24,480.0
203,Y019,10,25,480.0
204,G004,10,25,480.0
205,I038,10,25,480.0
206,I039,10,25,480.0
207,R018,10,25,480.0
208,C019,10,26,480.0
209,D039,10,26,480.0
210,C020,10,27,480.0
211,C021,10,28,480.0
212,D040,10,28,480.0
213,N034,10,29,480.0
214,S0510,10,29,480.0
215,S0511,10,29,480.0
216,H002,10,30,480.0
217,N035,10,30,480.0
218,R019,10,30,480.0
219,I040,10,31,480.0
220,I041,10,31,480.0
221,I042,10,32,480.0
222,N036,10,32,480.0
223,R020,10,32,480.0
224,D041,10,33,480.0
225,E007,10,33,480.0
226,T009,10,33,480.0
227,N037,10,33,480.0
228,Y020,10,34,480.0
229,D042,10,35,480.0
230,G005,10,35,480.0
231,I043,10,35,480.0
232,I044,10,35,480.0
233,I045,10,36,480.0
234,I046,10,37,480.0
235,R021,10,37,480.0
236,Y021,10,38,480.0
237,C022,10,39,480.0
238,D043,10,39,480.0
239,C023,10,40,480.0
240,R022,10,40,480.0
241,D044,10,41,480.0
242,S0512,10,41,480.0
243,R023,10,42,480.0
244,R024,10,42,480.0
245,N038,10,43,480.0
246,Y022,10,44,480.0
247,D045,10,44,480.0
248,G006,10,44,480.0
249,P007,10,45,480.0
250,N039,10,46,480.0
251,N040,10,46,480.0
252,R025,10,46,480.0
253,T010,10,47,480.0
254,R026,10,48,480.0
255,I047,10,49,480.0
256,R027,10,50,480.0
257,C024,10,51,480.0
258,S0513,10,51,480.0
259,R028,10,52,480.0
260,I048,10,53,480.0
261,R029,10,54,480.0
262,R030,10,54,480.0
263,R031,10,56,480.0
264,S0514,10,57,480.0
265,C025,10,58,480.0
266,C026,10,58,480.0
267,C027,10,58,480.0
268,C028,10,58,480.0
269,L002,10,59,480.0
270,I049,10,59,480.0
271,I050,10,59,480.0
272,T011,10,59,480.0
273,H003,11,2,480.0
274,Y023,11,4,480.0
275,Y024,11,4,480.0
276,E008,11,4,480.0
277,D046,11,5,480.0
278,T012,11,5,480.0
279,P008,11,5,480.0
280,Y025,11,6,480.0
281,N041,11,6,480.0
282,N042,11,8,480.0
283,R032,11,8,480.0
284,Y026,11,9,480.0
285,S0515,11,10,480.0
286,C029,11,12,480.0
287,N043,11,13,480.0
288,V009,11,13,480.0
289,I051,11,14,480.0
290,T013,11,15,480.0
291,P009,11,16,480.0
292,D047,11,17,480.0
293,I052,11,18,480.0
294,R033,11,18,480.0
295,I053,11,19,480.0
296,E009,11,21,480.0
297,R034,11,21,480.0
298,C030,11,23,480.0
299,E010,11,23,480.0
