Ticket_ID,Horas,Minutos,Duracion
D4501,8,4,658
I1001,8,4,297
V2001,8,4,215
N001,8,5,476
V2002,8,5,209
D4502,8,7,340
I1002,8,7,275
N002,8,7,742
N003,8,7,20
D4503,8,9,301
N004,8,10,671
N005,8,11,53
E1501,8,12,600
R4001,8,12,680
N006,8,15,852
N007,8,16,698
N008,8,16,1029
N009,8,16,462
N010,8,19,138
E1502,8,20,1004
E1503,8,21,547
H2501,8,22,406
N011,8,22,503
I1003,8,23,323
N012,8,23,603
E1504,8,25,1146
I1004,8,26,248
E1505,8,31,667
I1005,8,31,640
C3501,8,32,201
E1506,8,32,763
I1006,8,32,530
V2003,8,32,269
H2502,8,34,547
I1007,8,34,336
E1507,8,35,386
N013,8,35,988
N014,8,35,247
E1508,8,38,1515
N015,8,39,395
N016,8,39,4
C3502,8,43,209
N017,8,43,277
N018,8,44,55
N019,8,44,444
I1008,8,45,78
N020,8,47,515
I1009,8,49,280
I1010,8,50,374
H2503,8,51,555
I1011,8,51,241
C3503,8,52,308
V2004,8,52,457
I1012,8,53,648
I1013,8,53,528
N021,8,54,710
N022,8,56,17
I1014,8,57,251
H2504,8,58,762
C3504,8,59,242
D4504,8,59,343
D4505,9,0,313
H2505,9,3,677
D4506,9,4,353
H2506,9,4,252
C3505,9,5,216
N023,9,8,812
N024,9,9,543
N025,9,9,903
N026,9,9,731
E1509,9,10,746
E1510,9,10,1123
N027,9,10,497
V2005,9,10,1358
N028,9,11,289
C3506,9,12,106
I1015,9,12,301
I1016,9,12,283
N029,9,12,827
R4002,9,12,618
V2006,9,12,364
D4507,9,14,304
I1017,9,14,1087
N030,9,14,509
S0501,9,14,3
R4003,9,14,482
H2507,9,15,6
P3001,9,15,452
N031,9,15,874
C3507,9,18,178
I1018,9,18,770
C3508,9,19,4
I1019,9,19,5
N032,9,19,659
I1020,9,20,476
P3002,9,21,673
C3509,9,23,204
E1511,9,24,285
C3510,9,25,203
N033,9,27,752
N034,9,27,232
E1512,9,30,1057
I1021,9,32,436
C3511,9,33,455
N035,9,33,580
N036,9,33,703
N037,9,33,998
I1022,9,34,279
V2007,9,34,750
C3512,9,36,430
N038,9,36,923
N039,9,36,606
C3513,9,37,257
C3514,9,38,177
I1023,9,38,243
N040,9,38,483
D4508,9,40,423
N041,9,40,524
N042,9,40,226
N043,9,40,781
N044,9,41,40
R4004,9,41,246
N045,9,42,40
P3003,9,47,365
N046,9,54,621
S0502,9,54,803
E1513,9,56,941
I1024,9,56,233
N047,9,56,5
V2008,9,57,1065
E1514,9,58,636
S0503,9,58,1128
H2508,9,59,1210
P3004,9,59,304
V2009,9,59,24
E1515,10,0,689
N048,10,1,779
D4509,10,4,496
I1025,10,4,305
H2509,10,5,456
N049,10,7,957
I1026,10,8,13
N050,10,8,884
N051,10,10,530
N052,10,11,660
N053,10,11,553
I1027,10,13,221
P3005,10,13,430
I1028,10,14,207
V2010,10,14,782
P3006,10,15,317
N054,10,15,1005
C3515,10,17,435
C3516,10,17,96
I1029,10,17,221
E1516,10,18,1199
C3517,10,19,405
C3518,10,19,452
P3007,10,19,21
I1030,10,20,741
H2510,10,21,360
N055,10,23,23
I1031,10,24,722
V2011,10,24,307
E1517,10,26,2000
H2511,10,26,370
E1518,10,27,831
I1032,10,28,331
I1033,10,29,348
I1034,10,30,541
P3008,10,30,509
N056,10,30,669
C3519,10,31,423
N057,10,31,499
R4005,10,32,599
N058,10,34,505
N059,10,35,399
V2012,10,35,858
N060,10,40,62
N061,10,42,484
R4006,10,42,1214
C3520,10,43,326
C3521,10,43,189
V2013,10,44,364
N062,10,45,819
N063,10,45,445
N064,10,46,286
N065,10,46,816
D4510,10,48,654
I1035,10,48,354
N066,10,49,469
C3522,10,50,233
E1519,10,50,1075
H2512,10,50,1542
H2513,10,50,719
I1036,10,51,160
N067,10,52,882
C3523,10,53,213
I1037,10,56,156
N068,10,56,240
N069,10,56,227
C3524,10,57,147
I1038,11,1,188
D4511,11,2,337
N070,11,2,908
S0504,11,2,546
I1039,11,3,67
N071,11,3,85
N072,11,4,825
S0505,11,4,1959
D4512,11,5,309
H2514,11,5,624
I1040,11,5,740
D4513,11,6,521
P3009,11,6,248
D4514,11,10,643
V2014,11,10,712
I1041,11,11,169
N073,11,11,320
C3525,11,13,417
H2515,11,13,481
N074,11,15,555
N075,11,19,926
C3526,11,20,308
I1042,11,20,260
P3010,11,21,426
V2015,11,23,874
C3527,11,24,333
D4515,11,24,449
N076,11,24,511
I1043,11,25,204
S0506,11,25,594
N077,11,26,557
N078,11,28,837
C3528,11,29,179
C3529,11,29,716
S0507,11,29,426
E1520,11,30,978
E1521,11,30,780
P3011,11,31,403
P3012,11,31,621
V2016,11,31,842
H2516,11,32,781
P3013,11,32,413
N079,11,32,1189
E1522,11,33,833
I1044,11,34,295
N080,11,36,717
N081,11,37,554
N082,11,37,931
N083,11,38,243
S0508,11,40,848
S0509,11,40,1776
N084,11,41,760
I1045,11,42,381
I1046,11,43,964
C3530,11,46,242
N085,11,46,778
N086,11,46,552
C3531,11,47,165
D4516,11,47,273
N087,11,48,795
C3532,11,49,54
I1047,11,49,324
N088,11,49,210
N089,11,49,791
I1048,11,50,27
P3014,11,51,593
I1049,11,52,226
S0510,11,53,820
C3533,11,57,343
N090,11,57,83
V2017,11,57,491
N091,11,59,796
S0511,12,0,986
P3015,12,2,280
N092,12,2,28
E1523,12,3,1082
I1050,12,4,1075
N093,12,5,641
N094,12,6,1066
N095,12,7,624
N096,12,7,101
C3534,12,8,357
N097,12,8,94
S0512,12,8,169
C3535,12,9,43
N098,12,9,121
N099,12,11,710
C3536,12,12,25
C3537,12,12,62
V2018,12,12,717
V2019,12,13,433
C3538,12,15,273
E1524,12,15,510
I1051,12,15,99
E1525,12,16,1233
E1526,12,16,1454
I1052,12,16,591
I1053,12,16,846
V2020,12,16,706
C3539,12,17,329
D4517,12,17,538
D4518,12,17,116
E1527,12,17,371
N100,12,17,469
N101,12,17,278
N102,12,17,581
P3016,12,18,505
V2021,12,18,44
E1528,12,19,41
C3540,12,20,236
C3541,12,20,270
C3542,12,23,8
V2022,12,23,749
C3543,12,24,419
D4519,12,25,557
N103,12,25,894
C3544,12,26,160
C3545,12,27,386
C3546,12,27,412
C3547,12,28,320
E1529,12,29,57
I1054,12,29,65
S0513,12,29,1019
N104,12,31,629
N105,12,31,452
C3548,12,32,305
P3017,12,32,637
P3018,12,32,576
R4007,12,32,1019
V2023,12,32,1172
N106,12,33,994
N107,12,33,700
V2024,12,33,525
N108,12,34,792
I1055,12,35,60
I1056,12,35,195
N109,12,35,636
N110,12,36,371
N111,12,37,729
N112,12,37,419
V2025,12,37,788
C3549,12,39,262
N113,12,39,707
D4520,12,40,219
L001,12,40,1593
I1057,12,41,337
C3550,12,42,233
P3019,12,43,1019
V2026,12,44,5
C3551,12,46,141
I1058,12,46,85
N114,12,46,597
C3552,12,47,431
C3553,12,47,240
N115,12,51,791
H2517,12,53,750
V2027,12,53,205
N116,12,54,723
I1059,12,55,467
D4521,12,57,755
L002,12,57,318
H2518,12,57,22
N117,12,57,23
E1530,12,59,1323
C3554,13,1,256
N118,13,1,661
N119,13,1,710
V2028,13,1,1134
I1060,13,4,162
N120,13,4,714
N121,13,4,139
I1061,13,5,319
C3555,13,6,250
N122,13,6,660
I1062,13,7,312
S0514,13,7,397
S0515,13,7,381
N123,13,8,827
C3556,13,9,293
I1063,13,10,891
I1064,13,11,721
P3020,13,12,35
I1065,13,14,506
S0516,13,15,1381
C3557,13,16,143
N124,13,17,32
C3558,13,18,357
I1066,13,18,89
N125,13,19,601
C3559,13,22,203
C3560,13,22,339
V2029,13,23,1797
I1067,13,26,1302
N126,13,26,724
E1531,13,27,228
E1532,13,28,409
I1068,13,28,537
D4522,13,29,138
I1069,13,30,626
I1070,13,33,519
N127,13,33,456
N128,13,33,21
C3561,13,34,118
E1533,13,34,1119
C3562,13,35,138
C3563,13,36,166
N129,13,36,655
I1071,13,37,87
S0517,13,38,61
V2030,13,40,66
P3021,13,41,357
N130,13,41,561
N131,13,43,814
