,Ticket_ID,Horas,Minutos,Duracion
0,D4501,8,4,540.0
1,I1001,8,4,540.0
2,V2001,8,4,540.0
3,N001,8,5,540.0
4,V2002,8,5,540.0
5,D4502,8,7,540.0
6,I1002,8,7,540.0
7,N002,8,7,540.0
8,N003,8,7,540.0
9,D4503,8,9,540.0
10,N004,8,10,540.0
11,N005,8,11,540.0
12,E1501,8,12,540.0
13,R4001,8,12,540.0
14,N006,8,15,540.0
15,N007,8,16,540.0
16,N008,8,16,540.0
17,N009,8,16,540.0
18,N010,8,19,540.0
19,E1502,8,20,540.0
20,E1503,8,21,540.0
21,H2501,8,22,540.0
22,N011,8,22,540.0
23,I1003,8,23,540.0
24,N012,8,23,540.0
25,E1504,8,25,540.0
26,I1004,8,26,540.0
27,E1505,8,31,540.0
28,I1005,8,31,540.0
29,C3501,8,32,540.0
30,E1506,8,32,540.0
31,I1006,8,32,540.0
32,V2003,8,32,540.0
33,H2502,8,34,540.0
34,I1007,8,34,540.0
35,E1507,8,35,540.0
36,N013,8,35,540.0
37,N014,8,35,540.0
38,E1508,8,38,540.0
39,N015,8,39,540.0
40,N016,8,39,540.0
41,C3502,8,43,540.0
42,N017,8,43,540.0
43,N018,8,44,540.0
44,N019,8,44,540.0
45,I1008,8,45,540.0
46,N020,8,47,540.0
47,I1009,8,49,540.0
48,I1010,8,50,540.0
49,H2503,8,51,540.0
50,I1011,8,51,540.0
51,C3503,8,52,540.0
52,V2004,8,52,540.0
53,I1012,8,53,540.0
54,I1013,8,53,540.0
55,N021,8,54,540.0
56,N022,8,56,540.0
57,I1014,8,57,540.0
58,H2504,8,58,540.0
59,C3504,8,59,540.0
60,D4504,8,59,540.0
61,D4505,9,0,540.0
62,H2505,9,3,540.0
63,D4506,9,4,540.0
64,H2506,9,4,540.0
65,C3505,9,5,540.0
66,N023,9,8,540.0
67,N024,9,9,540.0
68,N025,9,9,540.0
69,N026,9,9,540.0
70,E1509,9,10,540.0
71,E1510,9,10,540.0
72,N027,9,10,540.0
73,V2005,9,10,540.0
74,N028,9,11,540.0
75,C3506,9,12,540.0
76,I1015,9,12,540.0
77,I1016,9,12,540.0
78,N029,9,12,540.0
79,R4002,9,12,540.0
80,V2006,9,12,540.0
81,D4507,9,14,540.0
82,I1017,9,14,540.0
83,N030,9,14,540.0
84,S0501,9,14,540.0
85,R4003,9,14,540.0
86,H2507,9,15,540.0
87,P3001,9,15,540.0
88,N031,9,15,540.0
89,C3507,9,18,540.0
90,I1018,9,18,540.0
91,C3508,9,19,540.0
92,I1019,9,19,540.0
93,N032,9,19,540.0
94,I1020,9,20,540.0
95,P3002,9,21,540.0
96,C3509,9,23,540.0
97,E1511,9,24,540.0
98,C3510,9,25,540.0
99,N033,9,27,540.0
100,N034,9,27,540.0
101,E1512,9,30,540.0
102,I1021,9,32,540.0
103,C3511,9,33,540.0
104,N035,9,33,540.0
105,N036,9,33,540.0
106,N037,9,33,540.0
107,I1022,9,34,540.0
108,V2007,9,34,540.0
109,C3512,9,36,540.0
110,N038,9,36,540.0
111,N039,9,36,540.0
112,C3513,9,37,540.0
113,C3514,9,38,540.0
114,I1023,9,38,540.0
115,N040,9,38,540.0
116,D4508,9,40,540.0
117,N041,9,40,540.0
118,N042,9,40,540.0
119,N043,9,40,540.0
120,N044,9,41,540.0
121,R4004,9,41,540.0
122,N045,9,42,540.0
123,P3003,9,47,540.0
124,N046,9,54,540.0
125,S0502,9,54,540.0
126,E1513,9,56,540.0
127,I1024,9,56,540.0
128,N047,9,56,540.0
129,V2008,9,57,540.0
130,E1514,9,58,540.0
131,S0503,9,58,540.0
132,H2508,9,59,540.0
133,P3004,9,59,540.0
134,V2009,9,59,540.0
135,E1515,10,0,540.0
136,N048,10,1,540.0
137,D4509,10,4,540.0
138,I1025,10,4,540.0
139,H2509,10,5,540.0
140,N049,10,7,540.0
141,I1026,10,8,540.0
142,N050,10,8,540.0
143,N051,10,10,540.0
144,N052,10,11,540.0
145,N053,10,11,540.0
146,I1027,10,13,540.0
147,P3005,10,13,540.0
148,I1028,10,14,540.0
149,V2010,10,14,540.0
150,P3006,10,15,540.0
151,N054,10,15,540.0
152,C3515,10,17,540.0
153,C3516,10,17,540.0
154,I1029,10,17,540.0
155,E1516,10,18,540.0
156,C3517,10,19,540.0
157,C3518,10,19,540.0
158,P3007,10,19,540.0
159,I1030,10,20,540.0
160,H2510,10,21,540.0
161,N055,10,23,540.0
162,I1031,10,24,540.0
163,V2011,10,24,540.0
164,E1517,10,26,540.0
165,H2511,10,26,540.0
166,E1518,10,27,540.0
167,I1032,10,28,540.0
168,I1033,10,29,540.0
169,I1034,10,30,540.0
170,P3008,10,30,540.0
171,N056,10,30,540.0
172,C3519,10,31,540.0
173,N057,10,31,540.0
174,R4005,10,32,540.0
175,N058,10,34,540.0
176,N059,10,35,540.0
177,V2012,10,35,540.0
178,N060,10,40,540.0
179,N061,10,42,540.0
180,R4006,10,42,540.0
181,C3520,10,43,540.0
182,C3521,10,43,540.0
183,V2013,10,44,540.0
184,N062,10,45,540.0
185,N063,10,45,540.0
186,N064,10,46,540.0
187,N065,10,46,540.0
188,D4510,10,48,540.0
189,I1035,10,48,540.0
190,N066,10,49,540.0
191,C3522,10,50,540.0
192,E1519,10,50,540.0
193,H2512,10,50,540.0
194,H2513,10,50,540.0
195,I1036,10,51,540.0
196,N067,10,52,540.0
197,C3523,10,53,540.0
198,I1037,10,56,540.0
199,N068,10,56,540.0
200,N069,10,56,540.0
201,C3524,10,57,540.0
202,I1038,11,1,540.0
203,D4511,11,2,540.0
204,N070,11,2,540.0
205,S0504,11,2,540.0
206,I1039,11,3,540.0
207,N071,11,3,540.0
208,N072,11,4,540.0
209,S0505,11,4,540.0
210,D4512,11,5,540.0
211,H2514,11,5,540.0
212,I1040,11,5,540.0
213,D4513,11,6,540.0
214,P3009,11,6,540.0
215,D4514,11,10,540.0
216,V2014,11,10,540.0
217,I1041,11,11,540.0
218,N073,11,11,540.0
219,C3525,11,13,540.0
220,H2515,11,13,540.0
221,N074,11,15,540.0
222,N075,11,19,540.0
223,C3526,11,20,540.0
224,I1042,11,20,540.0
225,P3010,11,21,540.0
226,V2015,11,23,540.0
227,C3527,11,24,540.0
228,D4515,11,24,540.0
229,N076,11,24,540.0
230,I1043,11,25,540.0
231,S0506,11,25,540.0
232,N077,11,26,540.0
233,N078,11,28,540.0
234,C3528,11,29,540.0
235,C3529,11,29,540.0
236,S0507,11,29,540.0
237,E1520,11,30,540.0
238,E1521,11,30,540.0
239,P3011,11,31,540.0
240,P3012,11,31,540.0
241,V2016,11,31,540.0
242,H2516,11,32,540.0
243,P3013,11,32,540.0
244,N079,11,32,540.0
245,E1522,11,33,540.0
246,I1044,11,34,540.0
247,N080,11,36,540.0
248,N081,11,37,540.0
249,N082,11,37,540.0
250,N083,11,38,540.0
251,S0508,11,40,540.0
252,S0509,11,40,540.0
253,N084,11,41,540.0
254,I1045,11,42,540.0
255,I1046,11,43,540.0
256,C3530,11,46,540.0
257,N085,11,46,540.0
258,N086,11,46,540.0
259,C3531,11,47,540.0
260,D4516,11,47,540.0
261,N087,11,48,540.0
262,C3532,11,49,540.0
263,I1047,11,49,540.0
264,N088,11,49,540.0
265,N089,11,49,540.0
266,I1048,11,50,540.0
267,P3014,11,51,540.0
268,I1049,11,52,540.0
269,S0510,11,53,540.0
270,C3533,11,57,540.0
271,N090,11,57,540.0
272,V2017,11,57,540.0
273,N091,11,59,540.0
274,S0511,12,0,540.0
275,P3015,12,2,540.0
276,N092,12,2,540.0
277,E1523,12,3,540.0
278,I1050,12,4,540.0
279,N093,12,5,540.0
280,N094,12,6,540.0
281,N095,12,7,540.0
282,N096,12,7,540.0
283,C3534,12,8,540.0
284,N097,12,8,540.0
285,S0512,12,8,540.0
286,C3535,12,9,540.0
287,N098,12,9,540.0
288,N099,12,11,540.0
289,C3536,12,12,540.0
290,C3537,12,12,540.0
291,V2018,12,12,540.0
292,V2019,12,13,540.0
293,C3538,12,15,540.0
294,E1524,12,15,540.0
295,I1051,12,15,540.0
296,E1525,12,16,540.0
297,E1526,12,16,540.0
298,I1052,12,16,540.0
299,I1053,12,16,540.0
300,V2020,12,16,540.0
301,C3539,12,17,540.0
302,D4517,12,17,540.0
303,D4518,12,17,540.0
304,E1527,12,17,540.0
305,N100,12,17,540.0
306,N101,12,17,540.0
307,N102,12,17,540.0
308,P3016,12,18,540.0
309,V2021,12,18,540.0
310,E1528,12,19,540.0
311,C3540,12,20,540.0
312,C3541,12,20,540.0
313,C3542,12,23,540.0
314,V2022,12,23,540.0
315,C3543,12,24,540.0
316,D4519,12,25,540.0
317,N103,12,25,540.0
318,C3544,12,26,540.0
319,C3545,12,27,540.0
320,C3546,12,27,540.0
321,C3547,12,28,540.0
322,E1529,12,29,540.0
323,I1054,12,29,540.0
324,S0513,12,29,540.0
325,N104,12,31,540.0
326,N105,12,31,540.0
327,C3548,12,32,540.0
328,P3017,12,32,540.0
329,P3018,12,32,540.0
330,R4007,12,32,540.0
331,V2023,12,32,540.0
332,N106,12,33,540.0
333,N107,12,33,540.0
334,V2024,12,33,540.0
335,N108,12,34,540.0
336,I1055,12,35,540.0
337,I1056,12,35,540.0
338,N109,12,35,540.0
339,N110,12,36,540.0
340,N111,12,37,540.0
341,N112,12,37,540.0
342,V2025,12,37,540.0
343,C3549,12,39,540.0
344,N113,12,39,540.0
345,D4520,12,40,540.0
346,L001,12,40,540.0
347,I1057,12,41,540.0
348,C3550,12,42,540.0
349,P3019,12,43,540.0
350,V2026,12,44,540.0
351,C3551,12,46,540.0
352,I1058,12,46,540.0
353,N114,12,46,540.0
354,C3552,12,47,540.0
355,C3553,12,47,540.0
356,N115,12,51,540.0
357,H2517,12,53,540.0
358,V2027,12,53,540.0
359,N116,12,54,540.0
360,I1059,12,55,540.0
361,D4521,12,57,540.0
362,L002,12,57,540.0
363,H2518,12,57,540.0
364,N117,12,57,540.0
365,E1530,12,59,540.0
366,C3554,13,1,540.0
367,N118,13,1,540.0
368,N119,13,1,540.0
369,V2028,13,1,540.0
370,I1060,13,4,540.0
371,N120,13,4,540.0
372,N121,13,4,540.0
373,I1061,13,5,540.0
374,C3555,13,6,540.0
375,N122,13,6,540.0
376,I1062,13,7,540.0
377,S0514,13,7,540.0
378,S0515,13,7,540.0
379,N123,13,8,540.0
380,C3556,13,9,540.0
381,I1063,13,10,540.0
382,I1064,13,11,540.0
383,P3020,13,12,540.0
384,I1065,13,14,540.0
385,S0516,13,15,540.0
386,C3557,13,16,540.0
387,N124,13,17,540.0
388,C3558,13,18,540.0
389,I1066,13,18,540.0
390,N125,13,19,540.0
391,C3559,13,22,540.0
392,C3560,13,22,540.0
393,V2029,13,23,540.0
394,I1067,13,26,540.0
395,N126,13,26,540.0
396,E1531,13,27,540.0
397,E1532,13,28,540.0
398,I1068,13,28,540.0
399,D4522,13,29,540.0
400,I1069,13,30,540.0
401,I1070,13,33,540.0
402,N127,13,33,540.0
403,N128,13,33,540.0
404,C3561,13,34,540.0
